id,date,type,hypothesis,machine,artifact,result,conclusion
V5-A1,2026-09-18,MEASURED,"GGUF inspection can verify the expert-contiguity precondition rather than assume it","RTX 4050 Laptop / 28GB RAM","Qwen3.8-Flash-Next UD-Q4_K_XL (111.335 GB, 4 shards, 1224 tensors)","arch qwen4exp; 48 blocks; 512 experts top-10; bank 77.018 GB in 24576 objects; per-token 1.5043 GB; fixed 4.8302 GB; contiguity VERIFIED across 144 expert tensors",PASS,"Reproduces v3 byte-exactly. Unsupported architectures are refused rather than guessed"
V5-A2,2026-09-18,MEASURED,"The machine can be characterised automatically with usable (not nominal) capacity","RTX 4050 Laptop","sabah qualify","RAM 29.8 GB total / 25.5 usable; VRAM 6.44 total / 4.89 usable; H2D solo 12.76 GB/s simultaneous 12.79 contention 1.00; storage 1.79-2.51 GB/s; gen4 x8",PASS,"Two bugs found and fixed during bring-up: wmic returned nothing for RAM under this shell (now PowerShell), and storage was timed against the 10.9 MB metadata shard (now the largest shard)"
V5-A3,2026-09-18,MEASURED,"The CUDA qualifier can emit machine-readable output for the planner","RTX 4050 Laptop","mgpu_qualify.cu --json-out","schema 1 JSON with per-device solo GB/s, sum(solo), SIMULTANEOUS aggregate, contention factor",PASS,"sum(solo) is explicitly labelled as not-aggregate in both the text and the planner"
V5-A4,2026-09-18,SIMULATED,"The planner produces safe plans across machine classes it has never seen","mock profiles","9 synthetic machine classes + concurrency sweep","all invariants hold: per-device placement never exceeds usable VRAM; capacity never exceeds the bank; FULL_GPU implies hit 1.0; no GPU class without a GPU; contended PCIe is penalised (mid 18.0 vs 25.8 tok/s)",PASS,"Planner correctly returns REFERENCE / not-recommended for 1x6GB+128GB, 1x24GB+128GB and the contended 3-GPU board"
V5-A5,2026-09-18,MEASURED,"A batch of B tokens costs the same as one token (BUG found by the synthetic tests)","mock profiles","concurrency sweep","before fix: B=16 projected 311-448 tok/s (absurd); after fix: 32.7-47.1 tok/s saturating, per-stream falling 25.8 -> 2.5",FIXED,"The estimator was applying reuse R_B but not multiplying expert bytes by B. Weights are shared across a pass, arithmetic is not. Caught only because the synthetic sweep was inspected"
V5-A6,2026-09-18,PROJECTED,"Sabah helps on the development machine","RTX 4050 Laptop / 28GB RAM","sabah plan, real artifact","STORAGE_BACKED; expert tier 0.00 GB (the 4.83 GB fixed path plus KV does not leave room in 4.89 GB usable VRAM); RAM holds 25.5 of 77 GB; PROJECTED 1.6-2.4 tok/s vs 1.4 reference",NO-GO,"Correct outcome. The planner adds an explicit advisory that absolute throughput is very low whatever the ratio, and that more RAM is the single biggest win"
V5-B1,2026-09-18,MEASURED,Sabah's CUDA kernels decode the artifact's expert quant types correctly,"RTX 4050 Laptop, CUDA 13.3, sm_89",64 real rows per type from Qwen3.8-Flash-Next UD-Q4_K_XL expert tensors,"Q4_K, Q5_K, Q5_1, Q8_0 all max|diff| = 0.000e+00 vs gguf.quants.dequantize",PASS,"Bit-exact, not merely within tolerance. The device test recovers elements via unit-vector dots through sub32_*, so it exercises the same code the matvec kernels use rather than a parallel implementation"
V5-B2,2026-09-18,MEASURED,"The GPU executes the experts the router selected, and residency cannot change the result",RTX 4050 Laptop,"blocks 0 (Q4_K/Q5_1) and 2 (Q5_K/Q8_0), top-10, real weights",agreement rel L2 6.03e-07 and 6.02e-07; one expert swapped -> 4.68e-01 and 6.66e-01; resident vs evicted+refetched output bit-identical,PASS,"The discrimination test is part of the pass criterion: five orders of magnitude separate a right expert from a wrong one, so the agreement number is meaningful rather than a loose tolerance"
V5-B3,2026-09-18,MEASURED,The hot tier's cost is dominated by PCIe transfer,RTX 4050 Laptop 6GB / 28GB RAM / PCIe gen4 x8,"block 0, 18960-token real trace, 1000 tokens measured, mmap bank",at 16 slots: 4.646 ms/token total = 1.274 kernel + 0.223 GPU stall + 3.759 host staging; staging throughput 7.5 GB/s single-threaded,REFUTED,"81% of the time is the CPU copying page-cached bytes into pinned staging, not PCIe. Measured directly by timing the copy, not inferred by subtraction"
V5-B4,2026-09-18,MEASURED,A pinned RAM bank removes the staging copy from the critical path,RTX 4050 Laptop,"block 0, same trace and window, ExpertBank(mode=ram, pinned=True)",16 slots 4.646 -> 2.879 ms/token (1.61x); 64 slots 3.377 -> 2.186 (1.55x); 256 slots 1.520 -> 1.330 (1.14x); host staging 0.000 ms throughout,CONFIRMED,"Accounting closes: 1.274 kernel + 1.407 measured stall vs 2.879 observed. 28.4 MB at the measured 12.76 GB/s would cost 2.22 ms, so ~37% of the transfer is hidden behind compute"
V5-B5,2026-09-18,MEASURED,The planner's hit curve matches the policy the runtime implements,"n/a (trace replay, 48 blocks)","same 18960-token trace, byte-weighted, 20% warm-up / 15168 unseen tokens",LRU beats oracle static placement by +0.126 to +0.190 and deployable static by +0.167 to +0.239; planner under-predicted its own runtime by ~0.10 hit,REFUTED,v4 calibrated on STATIC placement while the runtime runs LRU. Planner recalibrated: HIT_CURVES now carries lru (operating point) and static_deployable (floor); the generalisation-gap subtraction was removed from the LRU path to avoid double-counting
V5-B6,2026-09-18,MEASURED,M1: isolate the streaming penalty from kernel cost (forced-resident vs streamed),RTX 4050 Laptop,"block 0, 512 slots = whole block resident, vs 16/64/256 slots","fully resident 1.274 ms/token at hit 1.0 and zero stall; streamed 3.65x slower at 3% residency, 2.65x at 12%, 1.19x at 50%",PASS,"Gives the kernel-only floor for this GPU. SCOPE: one block, not tokens/s for the model - attention, the fixed path and sampling are absent"
